2017-05-22,1 Month,3 Month,6 Month,1 Year,3 Year,5 Year,10 Year,Amount,Expense Ratio,Dividend
SCHD,1.06,1.09,,15.99,9.18,14.19,,,0.07%,2.88%
FLPSX,1.61,2.80,,16.73,7.09,13.78,7.20,,0.88%,1.10%
FCNTX,4.89,6.03,,21.57,11.81,15.27,8.56,,0.68%,0.26%
VOO,2.06,1.81,,19.20,10.38,15.36,,,0.04%,1.89%
SPYV,0.49,-1.53,,16.86,8.03,14.34,4.84,,0.15%,2.30%
ITOT,1.78,1.31,,19.86,10.16,15.25,6.86,,0.03%,1.75%
IJH,0.56,-0.92,,21.46,9.60,15.27,8.19,,0.07%,1.53%
VOE,0.11,-0.90,,19.41,8.94,16.41,7.17,,0.07%,1.96%
IJR,-0.18,-2.83,,25.04,10.17,15.86,8.12,,0.07%,1.22%
VBR,-0.85,-3.30,,21.22,8.71,15.88,7.17,,0.07%,1.82%
IWM,0.12,-1.95,,26.73,8.65,14.49,6.73,,0.20%,1.38%
XLK,4.65,6.26,,33.03,16.46,17.12,9.86,,0.14%,1.52%
VIG,1.76,1.67,,15.38,8.38,12.97,7.02,,0.09%,2.01%
VYM,0.47,-0.38,,15.48,9.51,14.36,6.63,,0.08%,2.95%
QQQ,4.84,6.40,,32.24,17.23,19.21,12.45,,0.20%,0.89%
SPLV,1.06,2.83,,11.97,10.98,13.62,,,0.25%,1.99%
AGG,0.13,1.61,,1.38,2.54,2.19,4.27,,0.05%,2.36%
SHY,-0.06,0.28,,0.46,0.57,0.52,1.88,,0.15%,0.74%